"UNIT_LAYANAN","PENYULANG","GARDU","KAPASITAS","tanggal_ukur","waktu_ukur","beban_r","beban_s","beban_t","arus_rata2","unbalance_percent","persen_fasa_max","kondisi_fasa_max","persen_daya_trafo","status_beban_trafo"
"LABUAN","PAGELARAN","RKG240","50","03/26/2026 21:38:55","MALAM","13.00","12.00","5.00","10.00","50.00","130.00","Tidak Seimbang ","13.86","Underload"
"LABUAN","CIBALIUNG","WJB240","50","02/14/2026 18:39:16","MALAM","55.00","57.00","80.00","64.00","25.00","125.00","Tidak Seimbang ","88.68","Overload"
"LABUAN","JIPUT","MDCA240","100","02/15/2026 18:14:59","MALAM","56.00","77.00","44.00","59.00","30.51","130.51","Tidak Seimbang ","40.88","Normal"
"LABUAN","JIPUT","LBAN008","100","02/15/2026 19:45:18","MALAM","38.00","25.00","68.00","43.67","55.73","155.73","Tidak Seimbang ","30.25","Underload"
"LABUAN","JIPUT","PJM240","50","02/15/2026 19:55:02","MALAM","14.00","31.00","24.00","23.00","39.13","134.78","Tidak Seimbang ","31.87","Underload"
"LABUAN","JIPUT","SMDC240","100","02/15/2026 20:09:00","MALAM","83.00","134.00","113.00","110.00","24.55","121.82","Tidak Seimbang ","76.21","Normal"
"LABUAN","JIPUT","CDK240","100","02/15/2026 20:15:00","MALAM","60.00","36.00","38.00","44.67","34.33","134.33","Tidak Seimbang ","30.95","Underload"
"LABUAN","JIPUT","AMTA240","100","02/15/2026 20:18:00","MALAM","51.00","43.00","47.00","47.00","8.51","108.51","Seimbang","32.56","Underload"
"LABUAN","JIPUT","CEK240","100","02/15/2026 20:26:00","MALAM","39.00","59.00","108.00","68.67","57.28","157.28","Tidak Seimbang ","47.57","Normal"
"LABUAN","JIPUT","LMJ240","100","02/15/2026 20:34:00","MALAM","70.00","91.00","75.00","78.67","15.68","115.68","Kurang Seimbang","54.50","Normal"
"LABUAN","JIPUT","AMT240","250","02/15/2026 20:40:00","MALAM","166.00","127.00","164.00","152.33","16.63","108.97","Kurang Seimbang","42.21","Normal"
"LABUAN","JIPUT","TLJ240","100","02/15/2026 20:49:00","MALAM","44.00","46.00","39.00","43.00","9.30","106.98","Seimbang","29.79","Underload"
"LABUAN","JIPUT","PBB240","100","02/15/2026 21:08:00","MALAM","126.00","138.00","116.00","126.67","8.95","108.95","Seimbang","87.75","Overload"
"LABUAN","JIPUT","SKJD240","50","02/15/2026 21:19:04","MALAM","66.00","48.00","60.00","58.00","17.24","113.79","Kurang Seimbang","80.36","Overload"
"LABUAN","JIPUT","SKJ240","100","02/15/2026 21:38:18","MALAM","130.00","97.00","105.00","110.67","17.47","117.47","Kurang Seimbang","76.67","Normal"
"LABUAN","JIPUT","SKJB240","50","02/16/2026 18:07:30","MALAM","83.00","61.00","70.00","71.33","16.36","116.36","Kurang Seimbang","98.84","Overload"
"LABUAN","JIPUT","BEJ240","50","02/16/2026 18:18:30","MALAM","69.00","33.00","60.00","54.00","38.89","127.78","Tidak Seimbang ","74.82","Normal"
"LABUAN","JIPUT","BEJA240","50","02/16/2026 18:25:30","MALAM","14.00","6.00","14.00","11.33","47.06","123.53","Tidak Seimbang ","15.70","Underload"
"LABUAN","JIPUT","PSJ240","100","02/16/2026 18:35:30","MALAM","90.00","113.00","96.00","99.67","13.38","113.38","Kurang Seimbang","69.05","Normal"
"LABUAN","JIPUT","PSJA240","50","02/16/2026 18:47:30","MALAM","42.00","55.00","46.00","47.67","15.38","115.38","Kurang Seimbang","66.05","Normal"
"LABUAN","JIPUT","JPUT004","50","02/16/2026 18:59:09","MALAM","23.00","57.00","56.00","45.33","49.26","125.74","Tidak Seimbang ","62.81","Normal"
"LABUAN","JIPUT","KRJ240","160","02/16/2026 19:11:09","MALAM","122.00","153.00","161.00","145.33","16.06","110.78","Kurang Seimbang","62.93","Normal"
"LABUAN","JIPUT","JPTA240","100","02/16/2026 19:21:09","MALAM","41.00","40.00","42.00","41.00","2.44","102.44","Seimbang","28.40","Underload"
"LABUAN","JIPUT","JPT240","200","02/16/2026 19:36:17","MALAM","177.00","135.00","206.00","172.67","21.81","119.31","Tidak Seimbang ","59.81","Normal"
"LABUAN","JIPUT","JPTB240","50","02/16/2026 19:56:17","MALAM","49.00","54.00","75.00","59.33","26.40","126.40","Tidak Seimbang ","82.21","Overload"
"LABUAN","JIPUT","JPT240","200","02/16/2026 19:36:17","MALAM","177.00","135.00","206.00","172.67","21.81","119.31","Tidak Seimbang ","59.81","Normal"
"LABUAN","JIPUT","KPJA240","50","02/16/2026 20:12:17","MALAM","30.00","24.00","27.00","27.00","11.11","111.11","Kurang Seimbang","37.41","Underload"
"LABUAN","JIPUT","KPJ240","100","02/16/2026 20:25:19","MALAM","74.00","67.00","98.00","79.67","23.01","123.01","Tidak Seimbang ","55.19","Normal"
"LABUAN","JIPUT","SMRY240","100","02/16/2026 20:39:10","MALAM","142.00","117.00","125.00","128.00","10.94","110.94","Kurang Seimbang","88.68","Overload"
"LABUAN","JIPUT","MRYB240","100","02/16/2026 20:54:06","MALAM","16.00","16.00","8.00","13.33","40.00","120.00","Tidak Seimbang ","9.24","Underload"
"LABUAN","JIPUT","BRJ240","50","02/17/2026 18:05:35","MALAM","82.00","70.00","89.00","80.33","12.86","110.79","Kurang Seimbang","111.31","Overload"
"LABUAN","JIPUT","KUB240","100","02/17/2026 18:16:56","MALAM","122.00","133.00","118.00","124.33","6.97","106.97","Seimbang","86.14","Overload"
"LABUAN","JIPUT","SAJ240","100","02/17/2026 18:28:12","MALAM","82.00","84.00","49.00","71.67","31.63","117.21","Tidak Seimbang ","49.65","Normal"
"LABUAN","JIPUT","JSA240","160","02/17/2026 18:39:23","MALAM","88.00","117.00","113.00","106.00","16.98","110.38","Kurang Seimbang","45.90","Normal"
"LABUAN","JIPUT","SAJA240","100","02/17/2026 18:55:35","MALAM","50.00","60.00","65.00","58.33","14.29","111.43","Kurang Seimbang","40.41","Normal"
"LABUAN","JIPUT","BKJ240","100","02/17/2026 19:08:35","MALAM","141.00","131.00","123.00","131.67","7.09","107.09","Seimbang","91.22","Overload"
"LABUAN","JIPUT","BKJA240","50","02/17/2026 19:02:39","MALAM","37.00","80.00","41.00","52.67","51.90","151.90","Tidak Seimbang ","72.97","Normal"
"LABUAN","JIPUT","JBT240","50","02/17/2026 19:32:15","MALAM","55.00","49.00","50.00","51.33","7.14","107.14","Seimbang","71.13","Normal"
"LABUAN","JIPUT","DIK240","250","02/17/2026 19:44:19","MALAM","225.00","115.00","128.00","156.00","44.23","144.23","Tidak Seimbang ","43.23","Normal"
"LABUAN","JIPUT","CEN240","100","02/17/2026 19:58:13","MALAM","108.00","60.00","101.00","89.67","33.09","120.45","Tidak Seimbang ","62.12","Normal"
"LABUAN","JIPUT","CENA240","100","02/17/2026 20:12:19","MALAM","14.00","15.00","19.00","16.00","18.75","118.75","Kurang Seimbang","11.08","Underload"
"LABUAN","JIPUT","PMJA240","100","02/17/2026 20:24:38","MALAM","1.00","26.00","14.00","13.67","92.68","190.24","Tidak Seimbang ","9.47","Underload"
"LABUAN","JIPUT","MNES004","100","02/17/2026 20:40:14","MALAM","22.00","31.00","13.00","22.00","40.91","140.91","Tidak Seimbang ","15.24","Underload"
"LABUAN","JIPUT","MRY240","100","02/18/2026 18:05:58","MALAM","43.00","40.00","60.00","47.67","25.87","125.87","Tidak Seimbang ","33.02","Underload"
"LABUAN","JIPUT","MRY240","100","02/18/2026 18:05:58","MALAM","43.00","40.00","6.00","29.67","79.78","144.94","Tidak Seimbang ","20.55","Underload"
"LABUAN","JIPUT","MRYA240","100","02/18/2026 18:12:51","MALAM","57.00","27.00","62.00","48.67","44.52","127.40","Tidak Seimbang ","33.72","Underload"
"LABUAN","JIPUT","KTK240","50","02/18/2026 18:24:14","MALAM","13.00","27.00","11.00","17.00","58.82","158.82","Tidak Seimbang ","23.56","Underload"
"LABUAN","JIPUT","MKTD240","100","02/18/2026 18:35:11","MALAM","55.00","44.00","66.00","55.00","20.00","120.00","Kurang Seimbang","38.10","Underload"
"LABUAN","JIPUT","MKTD240","100","02/18/2026 18:35:11","","55.00","44.00","66.00","55.00","20.00","120.00","Kurang Seimbang","38.10","Underload"
"LABUAN","JIPUT","PRM240","250","02/18/2026 18:46:19","MALAM","30.00","55.00","29.00","38.00","44.74","144.74","Tidak Seimbang ","10.53","Underload"
"LABUAN","JIPUT","MKT240","100","02/18/2026 18:56:17","MALAM","115.00","98.00","151.00","121.33","24.45","124.45","Tidak Seimbang ","84.06","Overload"
"LABUAN","JIPUT","MSU240","100","02/18/2026 19:09:14","MALAM","130.00","139.00","147.00","138.67","6.25","106.01","Seimbang","96.07","Overload"
"LABUAN","JIPUT","KDTD240","50","02/18/2026 19:20:17","MALAM","81.00","56.00","41.00","59.33","36.52","136.52","Tidak Seimbang ","82.21","Overload"
"LABUAN","JIPUT","PKB240","100","02/18/2026 19:32:10","MALAM","72.00","84.00","96.00","84.00","14.29","114.29","Kurang Seimbang","58.20","Normal"
"LABUAN","JIPUT","SSHM240","160","02/18/2026 19:44:22","MALAM","71.00","114.00","116.00","100.33","29.24","115.61","Tidak Seimbang ","43.44","Normal"
"LABUAN","JIPUT","PMM240","100","02/18/2026 19:50:19","MALAM","11.00","12.00","21.00","14.67","43.18","143.18","Tidak Seimbang ","10.16","Underload"
"LABUAN","JIPUT","MNS240","250","02/18/2026 20:16:19","MALAM","307.00","359.00","237.00","301.00","21.26","119.27","Tidak Seimbang ","83.41","Overload"
"LABUAN","JIPUT","KMM240","100","02/18/2026 20:32:10","MALAM","103.00","69.00","95.00","89.00","22.47","115.73","Tidak Seimbang ","61.66","Normal"
"LABUAN","JIPUT","KGM240","160","02/18/2026 20:42:18","MALAM","127.00","135.00","217.00","159.67","35.91","135.91","Tidak Seimbang ","69.14","Normal"
"LABUAN","JIPUT","CMYA240","50","02/18/2026 21:50:06","MALAM","45.00","42.00","22.00","36.33","39.45","123.85","Tidak Seimbang ","50.34","Normal"
"LABUAN","JIPUT","PCJ240","50","02/19/2026 17:59:07","MALAM","17.00","35.00","16.00","22.67","54.41","154.41","Tidak Seimbang ","31.41","Underload"
"LABUAN","JIPUT","CTJ240","50","02/19/2026 18:13:08","MALAM","11.00","47.00","51.00","36.33","69.72","140.37","Tidak Seimbang ","50.34","Normal"
"LABUAN","JIPUT","SEJB240","50","02/19/2026 18:25:17","MALAM","15.00","10.00","20.00","15.00","33.33","133.33","Tidak Seimbang ","20.78","Underload"
"LABUAN","JIPUT","CJM240","100","02/19/2026 18:36:04","MALAM","46.00","52.00","37.00","45.00","17.78","115.56","Kurang Seimbang","31.18","Underload"
"LABUAN","JIPUT","SEJ240","50","02/19/2026 18:50:04","MALAM","49.00","62.00","57.00","56.00","12.50","110.71","Kurang Seimbang","77.59","Normal"
"LABUAN","JIPUT","SEJA240","25","02/19/2026 19:06:04","MALAM","3.00","16.00","12.00","10.33","70.97","154.84","Tidak Seimbang ","28.64","Underload"
"LABUAN","JIPUT","CNJ240","100","02/19/2026 19:18:04","MALAM","99.00","61.00","91.00","83.67","27.09","118.33","Tidak Seimbang ","57.96","Normal"
"LABUAN","JIPUT","JPUT001","100","02/19/2026 19:35:04","MALAM","15.00","13.00","17.00","15.00","13.33","113.33","Kurang Seimbang","10.39","Underload"
"LABUAN","JIPUT","LANG001","50","02/19/2026 19:48:04","MALAM","3.00","3.00","10.00","5.33","87.50","187.50","Tidak Seimbang ","7.39","Underload"
"LABUAN","JIPUT","MSJ240","100","02/19/2026 20:10:04","MALAM","112.00","89.00","113.00","104.67","14.97","107.96","Kurang Seimbang","72.51","Normal"
"LABUAN","JIPUT","MSJA240","25","02/19/2026 20:25:08","MALAM","11.00","7.00","5.00","7.67","43.48","143.48","Tidak Seimbang ","21.25","Underload"
"LABUAN","JIPUT","JPUT003","50","02/19/2026 20:38:04","MALAM","65.00","79.00","49.00","64.33","23.83","122.80","Tidak Seimbang ","89.14","Overload"
"LABUAN","JIPUT","KSJ240","50","02/19/2026 21:10:10","MALAM","21.00","30.00","43.00","31.33","37.23","137.23","Tidak Seimbang ","43.42","Normal"
"LABUAN","JIPUT","KKK240","50","02/20/2026 18:14:29","MALAM","14.00","27.00","32.00","24.33","42.47","131.51","Tidak Seimbang ","33.72","Underload"
"LABUAN","CIGEULIS","STDM240","100","02/20/2026 18:24:45","MALAM","81.00","104.00","105.00","96.67","16.21","108.62","Kurang Seimbang","66.97","Normal"
"LABUAN","JIPUT","KES240","100","02/20/2026 18:24:45","MALAM","81.00","104.00","105.00","96.67","16.21","108.62","Kurang Seimbang","66.97","Normal"
"LABUAN","JIPUT","CGS240","100","02/20/2026 18:36:45","MALAM","101.00","131.00","92.00","108.00","21.30","121.30","Tidak Seimbang ","74.82","Normal"
"LABUAN","JIPUT","BSS240","160","02/20/2026 18:48:45","MALAM","157.00","115.00","123.00","131.67","19.24","119.24","Kurang Seimbang","57.01","Normal"
"LABUAN","JIPUT","BSSA240","50","02/20/2026 19:02:45","MALAM","10.00","5.00","7.00","7.33","36.36","136.36","Tidak Seimbang ","10.16","Underload"
"LABUAN","JIPUT","DSM240","100","02/20/2026 19:15:48","MALAM","92.00","63.00","99.00","84.67","25.59","116.93","Tidak Seimbang ","58.66","Normal"
"LABUAN","JIPUT","SCMD240","100","02/20/2026 19:25:03","MALAM","113.00","78.00","49.00","80.00","41.25","141.25","Tidak Seimbang ","55.42","Normal"
"LABUAN","JIPUT","SCM240","100","02/20/2026 19:35:07","MALAM","106.00","86.00","89.00","93.67","13.17","113.17","Kurang Seimbang","64.89","Normal"
"LABUAN","JIPUT","KHMA240","50","02/20/2026 19:46:21","MALAM","45.00","29.00","39.00","37.67","23.01","119.47","Tidak Seimbang ","52.19","Normal"
"LABUAN","JIPUT","KHM240","100","02/20/2026 20:01:28","MALAM","127.00","119.00","125.00","123.67","3.77","102.70","Seimbang","85.68","Overload"
"LABUAN","JIPUT","BNP240","50","02/20/2026 20:14:32","MALAM","20.00","29.00","11.00","20.00","45.00","145.00","Tidak Seimbang ","27.71","Underload"
"LABUAN","JIPUT","SMLK240","100","02/20/2026 20:27:09","","42.00","51.00","72.00","55.00","30.91","130.91","Tidak Seimbang ","38.10","Underload"
"LABUAN","JIPUT","MLK240","100","02/20/2026 20:48:21","MALAM","112.00","74.00","68.00","84.67","32.28","132.28","Tidak Seimbang ","58.66","Normal"
"LABUAN","JIPUT","SKIM240","100","02/20/2026 20:48:21","MALAM","140.00","115.00","135.00","130.00","11.54","107.69","Kurang Seimbang","90.06","Overload"
"LABUAN","JIPUT","KDR240","100","02/20/2026 21:07:29","MALAM","112.00","121.00","80.00","104.33","23.32","115.97","Tidak Seimbang ","72.28","Normal"
"LABUAN","JIPUT","RTL240","50","02/21/2026 18:16:52","MALAM","63.00","104.00","74.00","80.33","29.46","129.46","Tidak Seimbang ","111.31","Overload"
"LABUAN","JIPUT","PMI240","50","02/21/2026 18:29:06","MALAM","25.00","16.00","31.00","24.00","33.33","129.17","Tidak Seimbang ","33.25","Underload"
"LABUAN","JIPUT","PYL240","50","02/21/2026 18:41:15","MALAM","17.00","33.00","20.00","23.33","41.43","141.43","Tidak Seimbang ","32.33","Underload"
"LABUAN","JIPUT","KSD240","50","02/21/2026 18:53:15","MALAM","34.00","52.00","85.00","57.00","49.12","149.12","Tidak Seimbang ","78.98","Normal"
"LABUAN","JIPUT","KSDA240","100","02/21/2026 19:05:17","MALAM","75.00","43.00","60.00","59.33","27.53","126.40","Tidak Seimbang ","41.11","Normal"
"LABUAN","JIPUT","KSDB240","50","02/21/2026 19:18:15","MALAM","43.00","47.00","30.00","40.00","25.00","117.50","Tidak Seimbang ","55.42","Normal"
"LABUAN","JIPUT","MCR240","100","02/21/2026 19:30:17","MALAM","90.00","61.00","105.00","85.33","28.52","123.05","Tidak Seimbang ","59.12","Normal"
"LABUAN","JIPUT","DSB240","100","02/21/2026 19:40:24","MALAM","75.00","72.00","86.00","77.67","10.73","110.73","Kurang Seimbang","53.81","Normal"
"LABUAN","JIPUT","PMZ240","100","02/21/2026 19:52:11","MALAM","50.00","62.00","60.00","57.33","12.79","108.14","Kurang Seimbang","39.72","Underload"
"LABUAN","JIPUT","DKJ240","100","02/21/2026 20:04:19","MALAM","98.00","77.00","116.00","97.00","20.62","119.59","Tidak Seimbang ","67.20","Normal"
"LABUAN","JIPUT","KKS240","100","02/21/2026 20:22:10","MALAM","112.00","79.00","128.00","106.33","25.71","120.38","Tidak Seimbang ","73.67","Normal"
"LABUAN","JIPUT","TIB240","50","02/21/2026 20:46:18","MALAM","62.00","54.00","40.00","52.00","23.08","119.23","Tidak Seimbang ","72.05","Normal"
"LABUAN","JIPUT","TIBA240","50","02/22/2026 18:02:18","MALAM","45.00","87.00","63.00","65.00","33.85","133.85","Tidak Seimbang ","90.06","Overload"
"LABUAN","JIPUT","KHS240","100","02/22/2026 18:14:11","MALAM","52.00","53.00","46.00","50.33","8.61","105.30","Seimbang","34.87","Underload"
"LABUAN","JIPUT","PULO001","50","02/22/2026 18:27:10","MALAM","43.00","45.00","64.00","50.67","26.32","126.32","Tidak Seimbang ","70.20","Normal"
"LABUAN","JIPUT","PBA240","100","02/22/2026 18:40:34","MALAM","118.00","127.00","113.00","119.33","6.42","106.42","Seimbang","82.67","Overload"
"LABUAN","JIPUT","SHM240","160","02/22/2026 18:53:08","MALAM","187.00","117.00","154.00","152.67","23.36","122.49","Tidak Seimbang ","66.10","Normal"
"LABUAN","JIPUT","KWM240","100","02/22/2026 19:10:13","MALAM","141.00","148.00","120.00","136.33","11.98","108.56","Kurang Seimbang","94.45","Overload"
"LABUAN","JIPUT","CGD240","100","02/22/2026 19:25:19","MALAM","52.00","40.00","63.00","51.67","22.58","121.94","Tidak Seimbang ","35.79","Underload"
"LABUAN","JIPUT","CGG240","100","02/22/2026 19:37:11","MALAM","67.00","78.00","55.00","66.67","17.50","117.00","Kurang Seimbang","46.19","Normal"
"LABUAN","JIPUT","CGGB240","50","02/22/2026 19:49:18","MALAM","49.00","68.00","43.00","53.33","27.50","127.50","Tidak Seimbang ","73.90","Normal"
"LABUAN","JIPUT","CGGA240","50","02/22/2026 20:06:12","MALAM","23.00","33.00","30.00","28.67","19.77","115.12","Kurang Seimbang","39.72","Underload"
"LABUAN","JIPUT","BGO240","100","02/23/2026 18:01:49","MALAM","15.00","62.00","3.00","26.67","132.50","232.50","Tidak Seimbang ","18.47","Underload"
"LABUAN","JIPUT","BGOA240","50","02/23/2026 18:14:12","MALAM","36.00","15.00","27.00","26.00","42.31","138.46","Tidak Seimbang ","36.03","Underload"
"LABUAN","JIPUT","PLE240","50","02/23/2026 18:26:16","MALAM","35.00","43.00","28.00","35.33","21.70","121.70","Tidak Seimbang ","48.96","Normal"
"LABUAN","JIPUT","CLB240","250","02/23/2026 18:40:10","MALAM","149.00","157.00","122.00","142.67","14.49","110.05","Kurang Seimbang","39.54","Underload"
"LABUAN","JIPUT","KNAB240","50","02/23/2026 18:52:19","MALAM","23.00","18.00","18.00","19.67","16.95","116.95","Kurang Seimbang","27.25","Underload"
"LABUAN","JIPUT","BGK240","50","02/23/2026 19:08:23","MALAM","16.00","15.00","35.00","22.00","59.09","159.09","Tidak Seimbang ","30.48","Underload"
"LABUAN","JIPUT","KNAA240","25","02/23/2026 19:21:38","MALAM","25.00","30.00","10.00","21.67","53.85","138.46","Tidak Seimbang ","60.04","Normal"
"LABUAN","JIPUT","KNA240","100","02/23/2026 19:34:12","MALAM","103.00","135.00","83.00","107.00","26.17","126.17","Tidak Seimbang ","74.13","Normal"
